that mo when peopl say you don't ne medicin it' mind ov mat you ne to stop do that bipolar || Ground truth: anger
favorit charact who' nam start with th let m prison th grey break anatomy || Ground truth: joy
let' start al ov again fel lov hapi loyalty truth || Ground truth: joy
us lel i already know th whol plot dont wory i would hav warn you d man cid tho that bitch slap ga hand away brant h || Ground truth: anger
us us you ar a man aft god' heart and i am proud that you ar my president bles awesome and grate || Ground truth: joy
us believ it you can start your temp tantrum now || Ground truth: anger
us so ar you say there' a god chanc that two team might gasp finish last on in th east and on in th west ofend || Ground truth: anger
chiropractor tim crackl pop chiropractor || Ground truth: joy
god bles him in hong kong ex || Ground truth: joy
john let not your heart b troubl neith let it b afraid peac afraid || Ground truth: joy
th on most important th w forget that w ne to denounc terorism not stok comunalism amarnath teror atack || Ground truth: anger
anoth blow for student a th su hav shun wildcat for fear they wil ofend dr dr || Ground truth: sadness
hav you ev spok in tongu don't b afraid || Ground truth: anger
wel play radio stat play th song tot eclips of th heart at th start of th eclips eclips briliant || Ground truth: joy
us unbelievabl aroganc to think you know bet than stephen hawk || Ground truth: anger
us hapy to help if th i anyth w can do for you pleas don't hesitat to ask thank jam k || Ground truth: joy
dul start || Ground truth: sadness
us us us stil spread th li that clinton alow someth lik it wa h sol decis sad || Ground truth: sadness
i actual hat vis com ov from us i lik mov from man city to qpr a leagu below past it and cloud in chao || Ground truth: anger
on sid i th concern &amp fear our ten safety &amp hapi that terify so contd horibl suicid gam sick || Ground truth: sadness
samuel and when saul saw that h had great suces h stod in fear a of him w || Ground truth: joy
befor i fear of not hav you in my lif now i fear of let you back into my lif fear || Ground truth: sadness
admit that decis ar hard when you sit in th ov ofic dumb terify a a stick || Ground truth: anger
us th should ne to tak seriou act ov terorism sir || Ground truth: anger
jeremy tak a slight dul subject and mak it so tedious bor you actual want to rip your own throat out vin || Ground truth: anger
us out of hi motherfuck mind don't think anyon could say it any bet terify bigest crybaby in history || Ground truth: anger
oh death wh i your st || Ground truth: sadness
updat on person dead &amp anoth in seriou condit aft hom invas in flint incident hapen in coleg cultur cent area || Ground truth: sadness
us us bil joel i in hug dang he' so brav inspir || Ground truth: joy
can't slep may wory or may i ne to chang my pilow may 😏 b b b || Ground truth: sadness
majka didn't start || Ground truth: sadness
us us us us it' excelent grip fear fearsom fear by fear fear fear || Ground truth: joy
on that not petit to tak hp for credit so your horific grad in th mat les or u freshmen advic || Ground truth: anger
quick anoying vagu scream into th void a i'm nervou excit terifi try not to get my hop up a a agh || Ground truth: anger
your smil could nev mak m frown || Ground truth: joy
us wish you wel sir you ar an extreme straightforward and jovi person || Ground truth: joy
us sory to burst your bubl but oposit research i part of every politic campaign doesn't mat wh it com from || Ground truth: sadness
a includ in th vila sc peopl liv with pt experienc heavi of th leg and pr oedema i lta tibi th || Ground truth: sadness
