presur 😦 || Ground truth: sadness
let' start al ov again fel lov hapi loyalty truth || Ground truth: joy
don't griev ov th so bad || Ground truth: sadness
unforgive liv in th dark || Ground truth: sadness
i'm nervou || Ground truth: sadness
chiropractor tim crackl pop chiropractor || Ground truth: joy
dark lucha tru i th best || Ground truth: joy
god bles him in hong kong ex || Ground truth: joy
john let not your heart b troubl neith let it b afraid peac afraid || Ground truth: joy
every tim i fart my dog jump in fear hahahaha yas || Ground truth: joy
dul start || Ground truth: sadness
us you nev told moi jk jk || Ground truth: sadness
us video n a 😟 || Ground truth: sadness
it wasn't enough 😢 || Ground truth: sadness
go to b with dry and clean hair bles || Ground truth: joy
schol duti 😧 god night pl || Ground truth: sadness
us septemb real 😢 || Ground truth: sadness
majka didn't start || Ground truth: sadness
us us us us it' excelent grip fear fearsom fear by fear fear fear || Ground truth: joy
sumertim sad || Ground truth: sadness
us who even knew that th eu could b vindictiv || Ground truth: anger
us tou sad || Ground truth: sadness
your smil could nev mak m frown || Ground truth: joy
flatmat provo pin polen man cat || Ground truth: anger
