presur 😦 || Ground truth: sadness
us shock los of talent young man pray pray for hi fami || Ground truth: sadness
let' start al ov again fel lov hapi loyalty truth || Ground truth: joy
us us a seriou charact flaw nowh clos to us || Ground truth: anger
us us you ar a man aft god' heart and i am proud that you ar my president bles awesome and grate || Ground truth: joy
us balrom danc clas tomorow any advic for a first tim || Ground truth: joy
chiropractor tim crackl pop chiropractor || Ground truth: joy
god bles him in hong kong ex || Ground truth: joy
john let not your heart b troubl neith let it b afraid peac afraid || Ground truth: joy
us hapy to help if th i anyth w can do for you pleas don't hesitat to ask thank jam k || Ground truth: joy
every tim i fart my dog jump in fear hahahaha yas || Ground truth: joy
us i’m glad to hear that kara don’t hesitat to get in touch again if you ne to cheryl || Ground truth: joy
us 더 쇼 got 니 가 하 면 rt if mad tre hrc you do q || Ground truth: anger
us cal to act by tv host john oliv who urg view to leav com expres their displeasur at th fc' polici || Ground truth: sadness
admit that decis ar hard when you sit in th ov ofic dumb terify a a stick || Ground truth: anger
go to b with dry and clean hair bles || Ground truth: joy
us us you real ne bet sourc info and avoid th fak new it ha cloud even th obviou || Ground truth: anger
it' a bles to lov it' a bles to hav someon to lov || Ground truth: joy
us oh my lord no i just b let him hit himself caus h throw himself on th flor and throw tantrum 🤦 🏽 ‍♀ ️ || Ground truth: anger
long to se your fac christ jesu i rejoic in th anticipat of your com again || Ground truth: joy
us th should ne to tak seriou act ov terorism sir || Ground truth: anger
jeremy tak a slight dul subject and mak it so tedious bor you actual want to rip your own throat out vin || Ground truth: anger
us us bil joel i in hug dang he' so brav inspir || Ground truth: joy
us us us us it' excelent grip fear fearsom fear by fear fear fear || Ground truth: joy
on that not petit to tak hp for credit so your horific grad in th mat les or u freshmen advic || Ground truth: anger
w ar hard pres on every yet crush w ar perplex but't in despair persecut but't forsaken struck down but't destroy sid t || Ground truth: sadness
your smil could nev mak m frown || Ground truth: joy
us wish you wel sir you ar an extreme straightforward and jovi person || Ground truth: joy
us us delusion disgrace democrat enough said || Ground truth: anger
