that moment when peopl say you don't ne medicin it' mind over matter you ne to stop do that bipolar || Ground truth: anger
favorit character who' nam start with th letter m prisonbreak th greysanatomy || Ground truth: joy
let' start all over again feel lover happi loyalty truth || Ground truth: joy
user i hav at am so i hav to get up around am to get ready n also am class ar never pleasant 😭 || Ground truth: sadness
thi person hasn't upload episod six or seven of th lodg and i'm || Ground truth: anger
user user you ar a man after god' heart and i am proud that you ar my president blessedandgrate awesome || Ground truth: joy
sardonyx express herself through support th team with your incredibl yo yo skill and depression okay || Ground truth: sadness
you know your numerou med hav kick in when you find stupid thing high amus bpdproblem keeptalkingmh mentalhealth || Ground truth: joy
hey user would it b saf to assum that thi i th most disappoint madden in year in your opinion || Ground truth: sadness
chiropractor tim crackl pop chiropractor || Ground truth: joy
god bless him in hong kong ex || Ground truth: joy
look at thi littl guy h i connect to hi magical self 😇 what do you do to keep lif magical 🌈 user magical b || Ground truth: joy
so if you hav a real tiny peni get help but pleas don't try to compensat on th road bigcar tinypeni roadrag || Ground truth: anger
so apparent on of your bu driver ha a grudg against m user i wa pass whil wait for it to stop real servic ther || Ground truth: anger
on th upsid i saw a corgi puppy on th tub today my shin light in th dark || Ground truth: joy
prepar to suffer th st of ghost rider' power prepar to know th tru mean of hell || Ground truth: anger
user user eng r u call a spad a spad if u wer good let all mourn but if you not pop a bottl and say good riddac || Ground truth: sadness
user id argu that sakura spac i th best of th franchis and it not on your list dissapoint || Ground truth: sadness
user i dani alv real go to go to psg in your opinion nervou || Ground truth: sadness
did they offend u and they want it to sound new || Ground truth: anger
user unbelievabl arroganc to think you know better than stephenhawk || Ground truth: anger
user happy to help if ther i anyth w can do for you pleas don't hesitat to ask thank jam k || Ground truth: joy
dull start || Ground truth: sadness
user h know wonwoo can't hold any longer when hi finger trembl uncontrollab so sol giv hi mask for wonwoo and || Ground truth: sadness
i had som weird dream last night first about dog whos head explod and roach com out second dark cloud and fly into spac || Ground truth: sadness
important read on th differenc between pleasur and happi and th relationship between digitaltechnology addiction &amp depression || Ground truth: joy
i keep it real sorry if you get offend 🤷 🏽 ‍♂ ️ || Ground truth: sadness
user yeah hi heart i evil and hi speech reflect that say a lot about your character that you find it awesom how || Ground truth: anger
user user i us to mak th peanut butter energy ball all th tim my famjam lov them recip yummy || Ground truth: joy
user i’m glad to hear that kara don’t hesitat to get in touch again if you ne to cheryl || Ground truth: joy
when you baby ha their first temperatur and all you do i worry firsttimemum firsttimemom newborn baby sickbaby worry || Ground truth: sadness
tfw you a superhero introvert hav to let stranger into your hous to mess around w th bathroom plumb thecatsandiarehid || Ground truth: anger
best th about th bossbaby film ha to b th wizard alarm clock do lotr quot || Ground truth: joy
good to se india indignant about amarnath yatra do also try and visit th area around it too ther may b som mor grav to weep for || Ground truth: sadness
user user alyssa y don't u us your voic good instead of hatr &amp resistanc of user i'm sur ivanka could help || Ground truth: anger
ato hack into your phon call and text messag privacylaw invasion i knew they did it but hear them get approval || Ground truth: anger
user user i'm dismay at th uk decision to pull out of th eu and i'v urg may to rejoin european leader 😉 || Ground truth: anger
