us get donovan out of your soc both he' aw he' bit h mak m want to mut th tv horid || Ground truth: anger
us how can u hav sold so many copi but ur gam ha so many fuck bug and mad lag isu optimiz ur shit son || Ground truth: anger
us th hatr from th left ought to concern everyon who want a polic stat th left so than can spy on al of u || Ground truth: anger
that mo when peopl say you don't ne medicin it' mind ov mat you ne to stop do that bipolar || Ground truth: anger
may or may not hav just pul th leg card on thes folk iritat || Ground truth: anger
th on upsid to be death il thi wek i that i'v goten bet at tak pil optimism || Ground truth: optimism
favorit charact who' nam start with th let m prison th grey break anatomy || Ground truth: joy
i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
i can se a ration way of bear a grudg to him for that i do not may becaus i do not liv by netflix and i do not car not b || Ground truth: anger
i lov swim for th sam reason i lov meditat th fel of weightles || Ground truth: joy
slep i and wil alway b on of th best remedi for a tir and weary soul || Ground truth: optimism
us spel exact how it mak you fel bet eat land lin talk to my mom thi wek ha ben imposibl god rag servic || Ground truth: anger
us john what do you mak of dj silenc h would usual b foam at th mouth right now may he' constipat t b || Ground truth: anger
us us agre with us or you ar of a low inteligenc would b your mesag th then dread || Ground truth: anger
us rumor ha you ar wel awesom truth i you ar a big 😲 not so you know a bunch of gay so endow so much peopl what || Ground truth: anger
ik to pm darl i wil haunt you in your nightmar dres lik a dream best th ev gam ln ov nawaz || Ground truth: joy
ar you alway lok for quot of your day then folow us to learn mor quot doubl viz || Ground truth: optimism
r sox fan ar mad on it' almost lik their al star relief pitch and st baseman both left with injuri in thi gam 🤷 🏻 ‍♀ ️ h || Ground truth: anger
us us ha ocupi on ful lan for tol colect permanent result in trafic snarl everyday on up link road || Ground truth: anger
i'v nev ben hapi i'm lay awak a i watch us slep thank for mak m hapy again bab || Ground truth: joy
overheard i don't real lik dog i don't fel saf in thi plac clear a hostil environ big cov trust  fef no on || Ground truth: anger
us lel i already know th whol plot dont wory i would hav warn you d man cid tho that bitch slap ga hand away brant h || Ground truth: anger
request mri year ago neuro on request last year i'm stil wait on apoint m healthcar suck fail || Ground truth: anger
us us a seriou charact flaw nowh clos to us || Ground truth: anger
i hav a problem with authority 'oh you mean you hat be told what to do 'no authority figur just terify m soci anxiety || Ground truth: anger
let u not becom weary in do god for at th prop tim w wil reap a harvest if w do not giv up ” galatian niv || Ground truth: optimism
omg they said kyung lok glomy and hi instant smil aft that i'm melt so || Ground truth: joy
a woman i sterilis becaus sh i certain that sh doesn't want children what exact i th to discus 😠 los women || Ground truth: anger
not on wa us and us responsibl for th unecesary outrag of thi movi but mad th director us lok bad || Ground truth: anger
us 😂 h lok lik a sea we vers of cousin it from adam fami and wa r tal a al || Ground truth: joy
how i drink two  and im stil somewhat sob || Ground truth: joy
i think saudi ar responsibl for most of th islamic teror in th world both with their wahabism and by financ terorist … || Ground truth: anger
🔝 lov inst photo us photo cut pictur beauti folow hapy folow fash pic pic a god of th day everyday m of th day || Ground truth: joy
us us you ar a man aft god' heart and i am proud that you ar my president bles awesome and grate || Ground truth: joy
remain atach to god dur your hapi and dur your sad || Ground truth: optimism
us jen aw funy how th tid ha turn on thi show i am elat and amus go from lov fest to oh w hav colus || Ground truth: joy
th patient w increasing protect dur heart atack chain hav encourag smok ang and hundr of new hospit || Ground truth: joy
just ad a copy of candid to my loc litl fre library &amp a guy grab it literal second lat optimism best of al posibl world || Ground truth: optimism
i fel so intimidat talk to chicken now that i know how prety sh i || Ground truth: joy
us c grew with resent for herself and th world around h h spin tingl a sh heard th incesant click of a c || Ground truth: anger
us ar w in for lemar even though weng wa very coy about him in hi pres conferenc || Ground truth: joy
you know your numerou m hav kick in when you find stupid th high amus bpd kep ment problem talk mh health || Ground truth: joy
us real becaus music analyz your screnshot with my microscop to i didn't think so ofend || Ground truth: anger
us it' ben a litl twit saga late th tea th i horific plu they nev hav fresh milk to put in it || Ground truth: anger
thre mor shift then i start th next part of my tutorship in respons enjoy excit nervou new th last few day chalang || Ground truth: joy
thi nightmar i near ov gang gang gang || Ground truth: optimism
i haven't had to speak maltes in ov two year and now hav relativ cal m about th trip and it' teribl 🙃 || Ground truth: anger
us so ar you say there' a god chanc that two team might gasp finish last on in th east and on in th west ofend || Ground truth: anger
we'r in th bathrom and you perch on th sink i begin to in exasperat resuscitat fat uat || Ground truth: anger
us im sory i vot jean &lt u lok bang who tf ne fod anyway when ur a student existenti dread fe u || Ground truth: joy
us us y it i i especial lov th rambl chat lov when they go of topic for lik ten minut awesome || Ground truth: joy
humbl yourself in th sight of th lord if w hav di in christ then how can w b ofend a dead person can fel anyth right not || Ground truth: optimism
i'm so sick of that i'm don w my ex na we'r nev get back togeth crap so you can get back togeth in lik a month 😂 || Ground truth: anger
us us us watch th tot on ur chanel right now amaz what' hapen in th usa solar eclips || Ground truth: joy
faint glimps of th circl star present a i went on stil gain velocity th palpitat of night and day merg into on || Ground truth: joy
us you mad m laugh today when you told a cal to turn up th volum that you weren't do th marvin th levity gay || Ground truth: joy
us jer a woman i ben stab in th fac and now guy r argu about h as be re or not heheh r  || Ground truth: anger
us us nam india lynch i not provocat teror i a provi even when teror ha no relig i tan cat || Ground truth: anger
w wil send video to prop agency stat work haras th public to fuel th ego of scot arni and tri court what th blep bul l || Ground truth: anger
us us no it wa a self of him from seven month ago lok at th top left of th snap peopl i || Ground truth: joy
do you ev just get so excit that your try to slep &amp just can't even clos you ey 😁 lik i real ne thi catnap but excite  || Ground truth: joy
lok at thi litl guy h i conect to hi magic self 😇 what do you do to kep lif magic 🌈 us magic b || Ground truth: joy
lif i to short to hid your fel don't b afraid to say what you fel || Ground truth: optimism
slep i my drug my b i my deal my alarm i th cop schol i th jail team folow back || Ground truth: joy
us oh no jump on again ha it turn cold 😟 hav a terific day 🙋 🏼 🌸 🌼 🌻 💕 💕 || Ground truth: joy
th th about liv near campu dur th sum i that it' a ghost town but now everyon i back and im anoy || Ground truth: anger
get u a gofy shorty w a big heart &amp a ang problem || Ground truth: anger
th on most important th w forget that w ne to denounc terorism not stok comunalism amarnath teror atack || Ground truth: anger
us us us you ne a new tactic post trump br hurl that insult around no long work i'm afraid exit || Ground truth: anger
so if you hav a real tiny peni get help but pleas don't try to compensat on th road big tiny road car peni rag || Ground truth: anger
h i hold h so clos wrap hi hand around h should sh i hold them and they'r both smil i'm stil liv ☺ ️ || Ground truth: joy
so aparent on of your bu driv ha a grudg against m us i wa pas whil wait for it to stop re servic th || Ground truth: anger
thi on lady literal park next to m and scar th shit out of m 🙃 || Ground truth: anger
on th upsid i saw a corgi pupy on th tub today my shin light in th dark || Ground truth: joy
th us of violenc threat of violenc and intimidat just tag zany pf very god at it || Ground truth: anger
us thi i go to b a god a rocky v hogan teribl oh in no what i you do baby || Ground truth: anger
usual th th you ar most afraid of ar th most worthwhil fact team rock folow back th twet || Ground truth: optimism
us no air work in th sr cariag of th from victoria to bognor boil southern fail || Ground truth: anger
wow that last chick wa a bit intens por fredi wa a bit unerv lol ninja warior au || Ground truth: joy
sometim in lif se th state itself sound so temporary noth i permanent isn't it so nev wory let it go &amp mov on || Ground truth: optimism
tomorow should b interest if info i be releas r away priority &amp canalsid membership outrag ht afc || Ground truth: anger
us yes wait for an epi i for th bird it suck im wait for walk dead new season 😩 || Ground truth: anger
us us it ruin my frig night each night at pm mr lov it i'v ben ear to b for a month || Ground truth: anger
us i colour my hair bright r and had a dodgy fr dread no thank bet photo god blond || Ground truth: joy
robert cal m to mak sur i wa awak for my night clas || Ground truth: joy
i final got my driv permit y ready nervou scar to driv || Ground truth: joy
us us my shirt did not ariv today a promis i even pr order it in jun who do i mak my complaint to || Ground truth: anger
us i'v tri to get through tim today and wait min each tim what do i hav to do to get through || Ground truth: anger
us lok at babi just mak m cros my leg and winc 😂 || Ground truth: joy
wow i don't know who jocelyn alic i but judg by h rendit of oh canada i'l nev buy any of h music alstar aw gam || Ground truth: anger
th i already a lot of resent against th co min and un crowd among th liber they ar sen a racist and a hav || Ground truth: anger
us it us to scar m to but it' bet thi way || Ground truth: optimism
hav a movi day with my favorit today 😄 god i lov my lil goth b an || Ground truth: joy
i wa so scar i thought i lost anoth daught tonight grate otm ❤ || Ground truth: joy
th numb of pl who tok it th wrong way i not that alarm but sr why do u think lyt dat man oy 😊 s || Ground truth: joy
us on of th twin wa slep next to m i tri to cov my laught but i shok so hard sh wok up || Ground truth: joy
bro im fum right now how th fuck did w hand them ov jam for m w probab paid for hi plan ticket a so shameles wel || Ground truth: anger
ov hour train and stat on to b back wh i start nightmar || Ground truth: anger
wel play radio stat play th song tot eclips of th heart at th start of th eclips eclips briliant || Ground truth: joy
us sometim our judiciary just leav you breathles and spechles || Ground truth: anger
